Year,B_000t,C_000t,sst_spawning_period,sst_nursery_feeding_period,sst_overwintering_period,NPGO_spawning_period,NPGO_nursery_feeding_period,NPGO_overwintering_period,NPA_spawning_period,NPA_nursery_feeding_period,NPA_overwintering_period,WP_spawning_period,WP_nursery_feeding_period,WP_overwintering_period,NAO_spawning_period,NAO_nursery_feeding_period,NAO_overwintering_period,SOI_spawning_period,SOI_nursery_feeding_period,SOI_overwintering_period,Nino34_spawning_period,Nino34_nursery_feeding_period,Nino34_overwintering_period,PDO_spawning_period,PDO_nursery_feeding_period,PDO_overwintering_period,NOI_spawning_period,NOI_nursery_feeding_period,NOI_overwintering_period,NPI_spawning_period,NPI_nursery_feeding_period,NPI_overwintering_period,AOI_spawning_period,AOI_nursery_feeding_period,AOI_overwintering_period,AMO_spawning_period,AMO_nursery_feeding_period,AMO_overwintering_period,summer_fishing_moratorium,F
2010,1624.762103,288.865,15.80341223,21.33355878,9.112445799,1.474494333,0.967494136,1.66841505,0.136666667,0.96,1.0475,-0.566666667,-0.316,0.365,-1.01,-0.996,-1.475,0.833333333,1.76,-1,26.5925,25.38,28.15,0.42,-1.29,0.6,1.506333333,1.496,-4.49875,1015.813333,1015.018,1005.065,-0.402333333,-0.278,-2.6745,0.423666667,0.376,0.12625,3,0.179762276
2011,1242.529789,282.871,15.67303313,21.34198607,8.991758493,1.188931897,0.847859228,0.585962195,-0.393333333,0.098,-0.345,-0.246666667,0.236,-0.715,0.38,-0.114,-0.355,0.833333333,0.86,2.6,26.21166667,26.038,25.5,-0.66,-1.894,-1.18,1.391666667,0.6992,1.96875,1014.903333,1014.384,1010.4575,0.460666667,0.2778,-0.32875,0.119666667,0.054,0.10775,3,0.224085585
2012,1673.196009,271.777,17.04792858,21.11956404,9.714532115,1.9283351,1.5552841,0.611815121,-0.256666667,-0.606,0.455,-1.113333333,-0.67,-0.035,-0.99,-1.106,1.345,-0.233333333,0.12,1.2,26.93666667,27.16,25.99,-0.856666667,-1.224,-1.4125,0.495666667,0.171,4.16,1015.326667,1015.162,1009.39,-0.179666667,-0.1342,0.7505,0.160333333,0.3286,-0.041,3,0.160624384
2013,2034.098432,283.366,13.77027676,22.55342241,10.49854711,0.764477583,0.095360332,1.010919268,-0.783333333,-0.264,0.0075,-1.153333333,0.15,0.3925,0.593333333,0.3,-0.385,0.733333333,0.38,0.15,26.75916667,26.6,26.405,-0.426666667,-1.018,-0.79,1.748666667,-0.002,4.18275,1015.906667,1014.66,1009.8175,0.455,0.3948,-1.63775,0.073333333,0.2014,0.1145,3,0.137468559
2014,2675.653915,268.737,14.47604955,21.75727987,10.9,-0.123541747,-0.113502704,-0.639061243,-0.656666667,0.984,-0.2625,-0.836666667,-0.764,-0.8175,-0.526666667,-0.094,0.845,0.5,-0.62,0.175,27.19083333,27.136,26.405,0.646666667,0.914,-0.2975,1.038,-2.2882,1.84875,1014.886667,1012.572,1008.395,0.309666667,-0.4846,0.439,-0.033,0.2228,-0.05875,3,0.102220371
2015,1226.178165,264.515,15.86068928,22.6320941,10.45487114,-1.07119391,-1.76875478,-0.900600788,-0.16,0.302,0.41,1.113333333,-0.418,-0.3275,0.27,-0.482,1.605,-0.433333333,-1.26,-0.475,28.53916667,28.994,27.32,0.98,1.142,1.73,-1.113,-2.3936,-0.4065,1015.36,1014.618,1007.7,0.802,-0.0534,1.09625,-0.021,0.202,-0.0425,3,0.209268854
2016,2240.996884,264.456,15.17669813,22.77972056,10.19780462,-0.65925671,-0.024868744,0.17506463,-0.296666667,0.616,1.2525,-0.086666667,-0.398,0.7325,-0.273333333,-0.51,1.1675,-0.066666667,0.38,-1.225,27.41,26.232,29.07,1.84,0.274,1.545,0.232,0.7074,-1.6565,1015.076667,1014.664,1004.25,-0.258,-0.238,0.06275,0.288,0.401,0.17875,3,0.118077671
2017,1794.51077,197.905,15.82631972,22.86843043,10.778,-0.282998158,-1.015974758,-0.823094995,0.366666667,-0.14,0.095,-0.143333333,-0.15,-0.19,-0.043333333,-0.052,0.675,-0.1,0.74,0.325,26.87833333,26.484,26.5525,0.89,-0.1,0.6975,-0.469,0.653,-0.273,1013.306667,1015.798,1010.51,-0.139,0.1808,1.10825,0.279,0.327,0.21625,4,0.110093305
2018,1739.355097,202.117,15.3622084,23.07962421,10.36722804,-1.999875767,-2.12752804,-2.138632625,-0.58,0.558,-0.1575,-0.433333333,-1.144,0.5,1.483333333,1.17,0.7425,0.266666667,-0.14,0.5,27.09166667,27.356,25.91,-0.253333333,-0.194,0.06,0.633,0.3942,2.987,1014.366667,1015.092,1012.145,0.701333333,0.266,-0.292,-0.005333333,0.0404,0.16,4,0.116747995
2019,1511.750848,203.075,15.30557876,22.61832218,10.43634731,-2.085891567,-2.5967587,-1.649688233,-0.26,0.642,0.215,-1.283333333,-0.506,1.0325,-1.08,-0.778,0.68,-0.266666667,-0.58,-0.175,27.55583333,27.142,27.5575,0.433333333,0.054,0.045,-0.240666667,-0.4606,-1.4805,1014.406667,1013.964,1009.0325,-0.695666667,-0.5162,0.6655,0.105666667,0.218,0.00925,4,0.134502766
2020,1466.947235,209.604,15.51821431,22.4398191,11.20977798,-1.817517233,-1.87478644,-2.125254775,-0.09,0.682,-0.515,-0.823333333,-0.73,1.045,-0.526666667,0.352,1.2025,0.066666667,0.72,-0.15,26.715,25.976,27.2875,-0.503333333,-0.978,-0.6675,0.246,0.6896,2.00275,1014.093333,1014.876,1012.2675,0.259666667,0.3704,2.22225,0.279666667,0.2928,0.2235,4,0.141046886
2021,2001.661933,233.74,15.77615911,23.38817941,10.99657134,-1.086172773,-0.59692753,-1.009914758,-0.576666667,0.76,0.1225,-0.253333333,-0.288,1.5625,-0.633333333,-0.586,-0.135,0.4,0.9,1.4,26.355,26.184,25.805,-1.396666667,-1.632,-0.8025,1.160666667,1.6466,4.76025,1015.926667,1015.21,1010.075,0.16,0.0232,-0.8255,0.088333333,0.3554,0.135,4,0.116603556
2022,2070.099404,224.224,15.81543571,22.88769593,11.0910398,-0.573129997,-1.250242832,-1.675251175,-0.626666667,0.596,-0.19,-0.91,0.454,-0.1925,0.076666667,-0.052,0.955,1.6,1.08,1.225,26.14,25.932,25.8275,-1.54,-1.938,-1.6975,2.432333333,1.2342,3.94125,1015.77,1015.7,1010.1025,0.182333333,0.177,0.72375,0.168666667,0.3842,0.1425,4,0.108162836
2023,1921.193627,234.617,16,23,11.1,-1.521593567,-1.50092738,-2.319206975,-0.196666667,0.882,-0.68,0.37,0.412,1.28,-0.273333333,-1.224,0.2275,-0.166666667,-0.74,1.275,27.9025,28.4,26.26,-1.92,-1.718,-1.405,0.306,-1.7948,0.57625,1015.696667,1014.808,1011.0725,-0.041666667,-0.1776,-0.37825,0.168666667,0.3842,0.1425,4,0.122647701
